id,created_time,creator_id,modified_time,modifier_id,is_deleted,name,group,path,is_exist,order_num,file_type,ext,status,searchable,filterable,quickSearch,active
50,2024-02-01 14:31:22.217894,1,2024-03-29 11:06:03.370634,1,0,huya,t4/files/txt,t4/files/txt/huya.txt,True,50,.txt,,1,0,0,0,True
3,2024-02-01 14:31:22.048522,1,2024-03-29 11:06:03.135311,1,0,base_spider,t4/spiders,t4/spiders/base_spider.json,True,9999,.json,,1,0,0,0,True
26,2024-02-01 14:31:22.135010,1,2024-03-29 11:06:03.263808,1,0,alist.min,t4/files/drpy_libs,t4/files/drpy_libs/alist.min.js,True,26,.js,,1,0,0,0,True
36,2024-02-01 14:31:22.167772,1,2024-03-29 11:06:03.297407,1,0,es6py,t4/files/drpy_libs,t4/files/drpy_libs/es6py.js,True,36,.js,,1,0,0,0,True
64,2024-02-05 09:48:57.436728,1,2024-03-29 11:06:03.317110,1,0,qjs_env,t4/files/drpy_libs,t4/files/drpy_libs/qjs_env.js,True,64,.js,,1,0,0,0,True
59,2024-02-04 14:21:09.832085,1,2024-03-29 11:06:03.341360,1,0,bili,t4/files/json,t4/files/json/bili.json,True,59,.json,,1,0,0,0,True
75,2024-02-19 18:15:01.925873,1,2024-03-29 11:06:03.345143,1,0,drpy_rules,t4/files/json,t4/files/json/drpy_rules.json,True,69,.json,,1,0,0,0,True
60,2024-02-04 14:21:09.834304,1,2024-03-29 11:06:03.349132,1,0,E8plus,t4/files/json,t4/files/json/E8plus.json,True,60,.json,,1,0,0,0,True
61,2024-02-04 14:21:09.836048,1,2024-03-29 11:06:03.353238,1,0,live2mv_data,t4/files/json,t4/files/json/live2mv_data.json,True,61,.json,,1,0,0,0,True
46,2024-02-01 14:31:22.201442,1,2024-03-29 11:06:03.356417,1,0,bili,t4/files/txt,t4/files/txt/bili.txt,True,46,.txt,,1,0,0,0,True
47,2024-02-01 14:31:22.206951,1,2024-03-29 11:06:03.360919,1,0,config,t4/files/txt,t4/files/txt/config.txt,True,47,.txt,,1,0,0,0,True
48,2024-02-01 14:31:22.210714,1,2024-03-29 11:06:03.364577,1,0,custom,t4/files/txt,t4/files/txt/custom.conf,True,48,.conf,,1,0,0,0,True
77,2024-03-08 15:53:20.983010,1,2024-03-29 11:06:03.373691,1,0,mytv,t4/files/txt,t4/files/txt/mytv.txt,True,71,.txt,,1,0,0,0,True
76,2024-02-20 16:25:29.526731,1,2024-03-29 11:06:03.376956,1,0,tv,t4/files/txt,t4/files/txt/tv.txt,True,70,.txt,,1,0,0,0,True
51,2024-02-01 14:31:22.221119,1,2024-03-29 11:06:03.380762,1,0,vip_parse,t4/files/txt,t4/files/txt/vip_parse.conf,True,51,.conf,,1,0,0,0,True
62,2024-02-04 14:21:09.849102,1,2024-03-29 11:06:03.384119,1,0,zb,t4/files/txt,t4/files/txt/zb.txt,True,62,.txt,,1,0,0,0,True
65,2024-02-05 09:48:57.517131,1,2024-03-29 11:06:03.387075,1,0,custom_jsapi,t4/files/jar,t4/files/jar/custom_jsapi.jar,True,65,.jar,,1,0,0,0,True
