央视频道,#genre#
武术世界,http://106.113.149.200:2222/rtp/239.254.200.100:6234
先锋乒羽,http://101.17.192.171:8007/rtp/239.253.93.219:6397
先锋乒羽,http://106.113.149.200:2222/rtp/239.254.201.160:7172
风云足球,http://101.17.192.171:8007/rtp/239.253.93.254:6432
风云足球,http://106.113.149.200:2222/rtp/239.254.201.222:7251
风云足球,http://106.113.149.200:2222/rtp/239.254.200.97:6231
风云足球,http://101.17.192.171:8007/rtp/239.253.92.110:8061
天元围棋,http://106.113.149.200:2222/rtp/239.254.201.156:6270
天元围棋,http://101.17.192.171:8007/rtp/239.253.93.211:6389
央视台球,http://101.17.192.171:8007/rtp/239.253.93.231:6409
央视台球,http://106.113.149.200:2222/rtp/239.254.201.171:7176
高尔夫网球,http://101.17.192.171:8007/rtp/239.253.93.122:6465
高尔夫网球,http://106.113.149.200:2222/rtp/239.254.201.223:7252
高尔夫网球,http://101.17.192.171:8007/rtp/239.253.92.117:8062
高尔夫网球,http://106.113.149.200:2222/rtp/239.254.200.98:6232
财富天下,http://106.113.149.200:2222/rtp/239.254.200.124:6370
财富天下,http://101.17.192.171:8007/rtp/239.253.93.247:6425
证券服务,http://101.17.192.171:8007/rtp/239.253.92.124:6569
东方财经,http://101.17.192.171:8007/rtp/239.253.93.239:6417
东方财经,http://106.113.149.200:2222/rtp/239.254.201.181:7214
家庭理财,http://106.113.149.200:2222/rtp/239.254.201.188:6366
家庭理财,http://101.17.192.171:8007/rtp/239.253.93.246:6424
点掌财经,http://101.17.192.171:8007/rtp/239.253.92.236:6448
中华特产,http://101.17.192.171:8007/rtp/239.253.93.242:6420
中华特产,http://106.113.149.200:2222/rtp/239.254.201.184:6263
中华美食,http://101.17.192.171:8007/rtp/239.253.93.248:6426
中华美食,http://106.113.149.200:2222/rtp/239.254.201.189:7171
中国交通,http://106.113.149.200:2222/rtp/239.254.201.110:5181
中国交通,http://101.17.192.171:8007/rtp/239.253.93.189:6357
汽摩,http://101.17.192.171:8007/rtp/239.253.92.46:6110
汽摩,http://106.113.149.200:2222/rtp/239.254.200.103:6252
车迷,http://106.113.149.200:2222/rtp/239.254.201.162:6266
车迷,http://101.17.192.171:8007/rtp/239.253.93.221:6399
乐游,http://101.17.192.171:8007/rtp/239.253.93.224:6402
游戏风云,http://101.17.192.171:8007/rtp/239.253.93.222:6400
游戏风云,http://106.113.149.200:2222/rtp/239.254.201.163:6354
BRTV纪实科教,http://101.17.192.171:8007/rtp/239.253.93.190:6358
纪实人文,http://101.17.192.171:8007/rtp/239.253.92.99:6013
纪实人文,http://106.113.149.200:2222/rtp/239.254.200.58:8060
金鹰纪实,http://101.17.192.171:8007/rtp/239.253.92.103:6054
金鹰纪实,http://106.113.149.200:2222/rtp/239.254.200.189:6293
法治天地,http://101.17.192.171:8007/rtp/239.253.93.241:6419
法治天地,http://106.113.149.200:2222/rtp/239.254.201.183:7226
生活时尚,http://101.17.192.171:8007/rtp/239.253.93.226:6404
生活时尚,http://106.113.149.200:2222/rtp/239.254.201.166:6359
女性时尚,http://101.17.192.171:8007/rtp/239.253.92.144:6114
女性时尚,http://106.113.149.200:2222/rtp/239.254.201.228:7255
女性时尚,http://106.113.149.200:2222/rtp/239.254.200.110:6241
女性时尚,http://101.17.192.171:8007/rtp/239.253.92.249:6103
早期教育,http://106.113.149.200:2222/rtp/239.254.201.230:7253
早期教育,http://101.17.192.171:8007/rtp/239.253.93.164:6440
早期教育,http://101.17.192.171:8007/rtp/239.253.92.39:6107
早期教育,http://106.113.149.200:2222/rtp/239.254.200.114:6244
中学生,http://101.17.192.171:8007/rtp/239.253.92.27:6106
中学生,http://106.113.149.200:2222/rtp/239.254.200.113:6243
国学,http://101.17.192.171:8007/rtp/239.253.92.158:8071
国学,http://106.113.149.200:2222/rtp/239.254.200.107:6255
金色学堂,http://101.17.192.171:8007/rtp/239.253.93.240:6418
金色学堂,http://106.113.149.200:2222/rtp/239.254.201.182:7227
kaku 少儿,http://101.17.192.171:8007/rtp/239.253.92.162:8054
kaku 少儿,http://106.113.149.200:2222/rtp/239.254.200.91:9248
优优宝贝,http://106.113.149.200:2222/rtp/239.254.201.186:6272
优优宝贝,http://101.17.192.171:8007/rtp/239.253.93.244:6422
优漫卡通,http://101.17.192.171:8007/rtp/239.253.93.204:6382
优漫卡通,http://106.113.149.200:2222/rtp/239.254.201.203:7178
动漫秀场,http://101.17.192.171:8007/rtp/239.253.93.225:6403
动漫秀场,http://106.113.149.200:2222/rtp/239.254.201.165:6358
嘉佳卡通,http://101.17.192.171:8007/rtp/239.253.93.203:6381
嘉佳卡通,http://106.113.149.200:2222/rtp/239.254.201.201:7269
新动漫,http://101.17.192.171:8007/rtp/239.253.93.217:6395
新动漫,http://106.113.149.200:2222/rtp/239.254.201.158:7170
金鹰卡通,http://101.17.192.171:8007/rtp/239.253.92.163:8055
金鹰卡通,http://106.113.149.200:2222/rtp/239.254.200.92:9252
党教,http://101.17.192.171:8007/rtp/239.253.92.125:6024

卫视频道,#genre#
东南卫视,http://101.17.192.171:8007/rtp/239.253.92.201:6146
东南卫视,http://106.113.149.200:2222/rtp/239.254.201.13:6291
东方卫视,http://101.17.192.171:8007/rtp/239.253.92.89:8019
东方卫视,http://106.113.149.200:2222/rtp/239.254.200.52:8032
云南卫视,http://106.113.149.200:2222/rtp/239.254.200.68:8108
兵团卫视,http://101.17.192.171:8007/rtp/239.253.93.176:6344
内蒙古卫视,http://106.113.149.200:2222/rtp/239.254.200.84:8176
凤凰卫视,http://106.113.149.200:2222/rtp/239.254.201.1:5214
凤凰卫视,http://106.113.149.200:2222/rtp/239.254.201.2:5226
凤凰卫视,http://106.113.149.200:2222/rtp/239.254.201.3:5227
北京卫视,http://101.17.192.171:8007/rtp/239.253.92.87:8014
北京卫视,http://106.113.149.200:2222/rtp/239.254.200.47:8024
吉林卫视,http://101.17.192.171:8007/rtp/239.253.92.202:6147
吉林卫视,http://106.113.149.200:2222/rtp/239.254.201.15:6339
四川卫视,http://101.17.192.171:8007/rtp/239.253.92.16:6043
四川卫视,http://106.113.149.200:2222/rtp/239.254.200.202:6325
天津卫视,http://101.17.192.171:8007/rtp/239.253.92.91:8021
天津卫视,http://106.113.149.200:2222/rtp/239.254.200.54:1234
宁夏卫视,http://106.113.149.200:2222/rtp/239.254.200.87:8124
安徽卫视,http://101.17.192.171:8007/rtp/239.253.92.209:6566
安徽卫视,http://106.113.149.200:2222/rtp/239.254.200.163:6000
山东卫视,http://101.17.192.171:8007/rtp/239.253.92.207:8109
山东卫视,http://106.113.149.200:2222/rtp/239.254.200.55:8052
山西卫视,http://106.113.149.200:2222/rtp/239.254.200.83:8172
广东卫视,http://101.17.192.171:8007/rtp/239.253.92.206:8108
广东卫视,http://106.113.149.200:2222/rtp/239.254.200.56:8048
广西卫视,http://101.17.192.171:8007/rtp/239.253.92.76:8043
广西卫视,http://106.113.149.200:2222/rtp/239.254.200.80:8300
新疆卫视,http://106.113.149.200:2222/rtp/239.254.200.89:8160
江苏卫视,http://101.17.192.171:8007/rtp/239.253.92.88:8018
江苏卫视,http://106.113.149.200:2222/rtp/239.254.200.51:8028
江西卫视,http://101.17.192.171:8007/rtp/239.253.92.19:6145
江西卫视,http://106.113.149.200:2222/rtp/239.254.201.12:6290
河北卫视,http://101.17.192.171:8007/rtp/239.253.92.154:6011
河北卫视,http://106.113.149.200:2222/rtp/239.254.200.174:6000
河南卫视,http://101.17.192.171:8007/rtp/239.253.92.137:6144
河南卫视,http://106.113.149.200:2222/rtp/239.254.201.16:7174
浙江卫视,http://101.17.192.171:8007/rtp/239.253.92.90:8020
浙江卫视,http://106.113.149.200:2222/rtp/239.254.200.53:8036
海南卫视,http://101.17.192.171:8007/rtp/239.253.93.155:6323
海南卫视,http://106.113.149.200:2222/rtp/239.254.201.125:6288
深圳卫视,http://101.17.192.171:8007/rtp/239.253.92.86:8017
深圳卫视,http://106.113.149.200:2222/rtp/239.254.200.50:8020
湖北卫视,http://101.17.192.171:8007/rtp/239.253.92.210:6567
湖北卫视,http://106.113.149.200:2222/rtp/239.254.200.164:6000
湖南卫视,http://101.17.192.171:8007/rtp/239.253.92.84:8015
湖南卫视,http://106.113.149.200:2222/rtp/239.254.200.48:8012
甘肃卫视,http://106.113.149.200:2222/rtp/239.254.200.90:8188
西藏卫视,http://106.113.149.200:2222/rtp/239.254.200.88:8164
贵州卫视,http://101.17.192.171:8007/rtp/239.253.92.105:6055
贵州卫视,http://106.113.149.200:2222/rtp/239.254.201.20:6315
辽宁卫视,http://101.17.192.171:8007/rtp/239.253.92.115:6056
辽宁卫视,http://106.113.149.200:2222/rtp/239.254.200.57:8056
重庆卫视,http://101.17.192.171:8007/rtp/239.253.92.10:6053
重庆卫视,http://106.113.149.200:2222/rtp/239.254.200.203:6323
陕西卫视,http://106.113.149.200:2222/rtp/239.254.200.82:8140
青海卫视,http://106.113.149.200:2222/rtp/239.254.200.85:8184
黑龙江卫视,http://101.17.192.171:8007/rtp/239.253.92.85:8016
黑龙江卫视,http://106.113.149.200:2222/rtp/239.254.200.49:8016

直播,#genre#
慢直播10,http://101.17.192.171:8007/rtp/239.253.94.10:6609
辅视角3-标清,http://106.113.149.200:2222/rtp/239.254.201.88:6000
临时直播频道2,http://106.113.149.200:2222/rtp/239.254.201.65:6000
临时直播频道3,http://106.113.149.200:2222/rtp/239.254.201.66:6000
临时直播频道4,http://106.113.149.200:2222/rtp/239.254.201.67:6000
临时直播频道5,http://106.113.149.200:2222/rtp/239.254.201.68:6000
九屏直播频道,http://106.113.149.200:2222/rtp/239.254.200.248:6000
慢直播1,http://101.17.192.171:8007/rtp/239.253.94.1:6600
慢直播2,http://101.17.192.171:8007/rtp/239.253.94.2:6601
慢直播3,http://101.17.192.171:8007/rtp/239.253.94.3:6602
慢直播4,http://101.17.192.171:8007/rtp/239.253.94.4:6603
慢直播5,http://101.17.192.171:8007/rtp/239.253.94.5:6604
慢直播6,http://101.17.192.171:8007/rtp/239.253.94.6:6605
慢直播7,http://101.17.192.171:8007/rtp/239.253.94.7:6606
慢直播8,http://101.17.192.171:8007/rtp/239.253.94.8:6607
慢直播9,http://101.17.192.171:8007/rtp/239.253.94.9:6608
辅视角2-标清,http://106.113.149.200:2222/rtp/239.254.201.87:6000
慢直播11,http://101.17.192.171:8007/rtp/239.253.94.11:6610
慢直播12,http://101.17.192.171:8007/rtp/239.253.94.12:6611
慢直播13,http://101.17.192.171:8007/rtp/239.253.94.13:6612
慢直播14,http://101.17.192.171:8007/rtp/239.253.94.14:6613
慢直播15,http://101.17.192.171:8007/rtp/239.253.94.15:6614
慢直播16,http://101.17.192.171:8007/rtp/239.253.94.16:6615
慢直播17,http://101.17.192.171:8007/rtp/239.253.94.17:6616
慢直播18,http://101.17.192.171:8007/rtp/239.253.94.18:6617
慢直播19,http://101.17.192.171:8007/rtp/239.253.94.19:6618
慢直播20,http://101.17.192.171:8007/rtp/239.253.94.20:6619
慢直播21,http://101.17.192.171:8007/rtp/239.253.94.21:6620
慢直播22,http://101.17.192.171:8007/rtp/239.253.94.22:6621
慢直播23,http://101.17.192.171:8007/rtp/239.253.94.23:6622
慢直播24,http://101.17.192.171:8007/rtp/239.253.94.24:6623
慢直播九屏1,http://101.17.192.171:8007/rtp/239.253.94.25:6624
临时直播,http://101.17.192.171:8007/rtp/239.253.92.116:6029
慢直播九屏3,http://101.17.192.171:8007/rtp/239.253.94.27:6626
主视角-4K,http://101.17.192.171:8007/rtp/239.253.93.123:6291
主视角-高清,http://101.17.192.171:8007/rtp/239.253.93.124:6292
辅视角1-高清,http://101.17.192.171:8007/rtp/239.253.93.125:6293
辅视角 2-高清,http://101.17.192.171:8007/rtp/239.253.93.126:6294
辅视角 3-高清,http://101.17.192.171:8007/rtp/239.253.93.127:6295
主视角-标清,http://101.17.192.171:8007/rtp/239.253.93.128:6296
辅视角 1-标清,http://101.17.192.171:8007/rtp/239.253.93.129:6297
